Country,Daily Oil Consumption (Barrels),Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,2022 Population,Continent
Afghanistan,35000,15.2,3.62,0.96,141,9,41128771,Asia
Albania,27000,143.4,8,2.11,652,5,2842321,Europe
Algeria,429000,162.2,1.18,0.31,2805,17,44903225,Africa
Angola,133000,70.7,1.39,0.37,1364,19,35588987,Africa
Argentina,709000,249.8,3.96,1.05,2166,9,45510318,South America
Armenia,6000,31.3,4.77,1.26,895,29,2780469,Asia
Aruba,8000,1169.4,6.08,1.61,4976,4,106445,North America
Australia,1114645,704.3,5.22,1.38,9903,14,26177413,Oceania
Austria,262352,459.8,8.07,2.13,6021,13,8939617,Europe
Azerbaijan,96000,151.2,2.23,0.59,1890,12,10358074,Asia
Bahamas,20036,812.7,6.48,1.71,3888,5,409984,North America
Bahrain,62000,666.6,2.01,0.53,10154,15,1472233,Asia
Bangladesh,113000,11,3.59,0.95,548,50,171186372,Asia
Barbados,11001,590.1,8.27,2.18,1859,3,281635,North America
Belarus,137000,222.3,2.67,0.71,2401,11,9534954,Europe
Belgium,631522,852.6,8.36,2.21,5402,6,11655930,Europe
Belize,4001,166.5,6.68,1.76,664,4,405272,North America
Benin,36000,50.8,3.63,0.96,356,7,13352864,Africa
Bhutan,3001,62.4,4.46,1.18,700,11,782455,Asia
Bolivia,90000,125.1,2.06,0.54,1526,12,12224110,South America
Bosnia and Herzegovina,35000,158.4,6.55,1.73,921,6,3233526,Europe
Botswana,21000,149,4.29,1.13,1564,10,2630296,Africa
Brazil,2984000,221.9,5.36,1.42,1268,6,215313498,South America
British Virgin Islands,1240,647.6,3.6,0.95,9513,15,31305,North America
Bulgaria,97000,207.9,6.53,1.72,1543,7,6781953,Europe
Burkina Faso,23000,18.9,4.33,1.14,192,10,22673762,Africa
Burundi,1499,2.2,5.09,1.34,54,24,12889576,Africa
Cambodia,48000,46.7,5.78,1.53,262,6,16767842,Asia
Cameroon,40000,25.6,3.93,1.04,381,15,27914536,Africa
Canada,2486301,1047.6,6.76,1.79,6399,6,38454327,North America
Cayman Islands,4401,1078.3,6.27,1.66,13570,13,68706,North America
Central African Republic,2800,9.5,9.06,2.39,53,6,5579144,Africa
Chile,351989,296.3,5.26,1.39,2516,8,19603733,South America
China,12791553,138.7,5.42,1.43,1925,14,1425887337,Asia
Colombia,357000,113.6,2.28,0.6,2339,21,51874024,South America
Comoros,1300,25,5.15,1.36,272,11,836774,Africa
Costa Rica,55000,172.1,5.87,1.55,2068,12,5180829,North America
Croatia,69000,251.3,7.24,1.91,1952,8,4030358,Europe
Cuba,153000,206.9,4.77,1.26,1987,10,11212191,North America
Cyprus,52000,681.2,7.04,1.86,3782,6,1251488,Europe
Denmark,158194,424.6,10.04,2.65,6082,14,5882261,Europe
Dominica,1301,279.7,4.78,1.26,1521,5,72737,North America
Dominican Republic,133000,196.1,5.33,1.41,1364,7,11228821,North America
DR Congo,21000,4.1,4.43,1.17,126,31,99010212,Africa
Ecuador,259000,240.8,4.43,1.17,1264,5,18001000,South America
Egypt,877000,142.3,1.97,0.52,1801,13,110990103,Africa
El Salvador,52000,125.4,4.31,1.14,881,7,6336392,North America
Estonia,28855,336,8.35,2.21,2758,8,1326062,Europe
Ethiopia,74000,10.9,2.7,0.71,347,32,123379924,Africa
Fiji,16000,281.2,5.27,1.39,926,3,929766,Oceania
Finland,210030,585.7,10.01,2.64,4872,8,5540745,Europe
France,1705568,404.3,8.27,2.19,4719,12,64626628,Europe
Gabon,21000,160.3,3.65,0.97,1919,12,2388992,Africa
Gambia,3800,27.1,5.04,1.33,156,6,2705992,Africa
Georgia,33000,126,5.04,1.33,849,7,3744385,Asia
Germany,2383393,444.5,7.65,2.02,6040,14,83369843,Europe
Ghana,88000,47.4,4.87,1.29,478,10,33475870,Africa
Greece,296101,427.6,9.49,2.51,1857,4,10384971,Europe
Grenada,2000,278.1,4.62,1.22,2005,7,125438,North America
Guatemala,93000,86,5.14,1.36,896,10,17843908,North America
Guinea,19001,24.8,5.13,1.36,233,9,13859341,Africa
Guyana,14000,278.2,4.6,1.22,1512,5,808726,South America
Haiti,23000,32.5,2.18,0.58,540,17,11584996,North America
Honduras,58000,95.9,5.49,1.45,438,5,10432860,North America
Hong Kong,408491,864.5,11.35,3,4081,5,7488865,Asia
