S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
1,United States of America,19687287,20,934.3,5.19,63414,12218,13
2,China,12791553,13,138.7,5.42,10435,1925,14
3,India,4443000,5,51.4,5.05,1901,376,7
4,Japan,4012877,4,481.5,4.69,40193,8570,18
5,Russia,3631287,4,383.2,3.41,10127,2970,8
6,Saudi Arabia,3302000,3,1560.2,2.35,20110,8557,5
7,Brazil,2984000,3,221.9,5.36,6797,1268,6
8,South Korea,2605440,3,783.4,6.09,31632,5194,7
9,Canada,2486301,3,1047.6,6.76,43258,6399,6
10,Germany,2383393,3,444.5,7.65,46208,6040,14
11,Mexico,2052607,2,255.1,4.36,8329,1910,7
12,Iran,1803999,2,347.6,0.2,2423,12115,35
13,France,1705568,2,404.3,8.27,39030,4719,12
14,Indonesia,1623000,2,95.1,4.48,3870,864,9
15,United Kingdom,1583896,2,366.2,8.38,41125,4908,13
16,Singapore,1357000,1,3679.5,8.71,59798,6865,2
17,Italy,1236628,1,312.5,8.01,31714,3959,13
18,Spain,1290063,1,424.1,8.35,27063,3241,8
19,Thailand,1302000,1,289.4,5.7,7189,1261,4
20,Australia,1114645,1,704.3,5.22,51693,9903,14
21,Taiwan,981203,1,636.9,3.94,25936,6583,10
22,Turkey,941861,1,180.9,6.06,8536,1409,8
23,Netherlands,937098,1,846,9.33,52397,5616,7
24,Egypt,877000,1,142.3,1.97,3548,1801,13
25,United Arab Emirates,896000,1,1467.3,4.15,36285,8743,6
26,Iraq,857000,1,358.9,1.95,4158,2132,6
27,Malaysia,708000,1,353.7,1.76,10412,5916,17
28,Argentina,709000,1,249.8,3.96,8579,2166,9
29,Belgium,631522,1,852.6,8.36,45159,5402,6
30,South Africa,640000,1,174.6,5.59,5091,911,5
31,Venezuela,598000,1,307.1,0.08,16056,200700,654
32,Poland,582161,1,234.9,6.8,15721,2312,10
33,Pakistan,556000,1,41.9,3.9,1194,306,7
34,Vietnam,478000,1,78.3,5.38,2786,518,7
35,Nigeria,428000,0,35.3,1.57,2097,1336,38
36,Colombia,357000,0,113.6,2.28,5333,2339,21
37,Algeria,429000,0,162.2,1.18,3310,2805,17
38,Kuwait,359000,0,1390.9,1.29,24812,19234,14
39,Philippines,429000,0,63.4,5.88,3299,561,9
40,Chile,351989,0,296.3,5.26,13232,2516,8
41,Hong Kong,408491,0,864.5,11.35,46324,4081,5
42,Kazakhstan,325000,0,279.4,1.8,9122,5068,18
43,Austria,262352,0,459.8,8.07,48587,6021,13
44,Sweden,322109,0,502,8.7,52274,6009,12
45,Peru,246000,0,121.9,6.26,6127,979,8
46,Ukraine,244000,0,83.7,6.44,3727,579,7
47,Ecuador,259000,0,240.8,4.43,5600,1264,5
48,Greece,296101,0,427.6,9.49,17623,1857,4
49,Morocco,275000,0,120,6.36,3009,473,4
50,Libya,223000,0,526.6,0.12,3699,30825,59
51,Switzerland,228194,0,417.5,8.27,87097,10532,25
52,Qatar,172000,0,993.4,2.18,50124,22993,23
53,Ireland,152404,0,497.5,7.84,85268,10876,22
54,Denmark,158194,0,424.6,10.04,61063,6082,14
55,Israel,236249,0,446.6,7.94,44169,5563,12
56,Romania,200000,0,154.9,6.87,12896,1877,12
57,Czech Republic (Czechia),179956,0,259.8,7.56,22932,3033,12
58,Turkmenistan,149000,0,403.4,1.62,7612,4699,12
59,Norway,204090,0,595.8,10.22,67390,6594,11
60,New Zealand,166913,0,549.2,7.82,41442,5299,10
61,Cuba,153000,0,206.9,4.77,9478,1987,10
62,Oman,183000,0,626.3,2.35,12660,5387,9
63,Hungary,155544,0,244.5,7.6,15981,2103,9
64,Finland,210030,0,585.7,10.01,48773,4872,8
65,Portugal,236866,0,351.7,8.55,22176,2594,7
66,Panama,155000,0,588.6,5.49,12510,2279,4
67,Lebanon,153000,0,349.3,5.41,4650,860,2
68,Bangladesh,113000,0,11,3.59,1969,548,50
69,Angola,133000,0,70.7,1.39,1896,1364,19
70,Syria,140000,0,122.9,1.08,2033,1882,15
71,Puerto Rico,96746,0,451.7,5.41,32291,5969,13
72,Azerbaijan,96000,0,151.2,2.23,4214,1890,12
73,Belarus,137000,0,222.3,2.67,6411,2401,11
74,Guatemala,93000,0,86,5.14,4603,896,10
75,Kenya,114000,0,35.6,5.14,1838,358,10
76,Tunisia,97000,0,131.5,2.86,3320,1161,9
77,Sri Lanka,127000,0,92.6,4.75,3682,775,8
78,Myanmar,123000,0,35.5,4.75,1400,295,8
79,Bulgaria,97000,0,207.9,6.53,10079,1543,7
80,Dominican Republic,133000,0,196.1,5.33,7268,1364,7
81,Jordan,114000,0,182.9,6.3,4283,680,4
82,Sudan,140000,0,53.9,4.8,596,124,2
83,Bolivia,90000,0,125.1,2.06,3143,1526,12
84,Ghana,88000,0,47.4,4.87,2329,478,10
85,Ethiopia,74000,0,10.9,2.7,936,347,32
86,Slovakia,81587,0,229.8,7.5,19267,2569,11
87,Serbia,74000,0,128.1,6.64,7721,1163,9
88,Tanzania,71999,0,20.8,4.86,1077,222,11
89,Croatia,69000,0,251.3,7.24,14134,1952,8
90,Bahrain,62000,0,666.6,2.01,20410,10154,15
91,Yemen,60000,0,33.9,1.96,824,420,12
92,Costa Rica,55000,0,172.1,5.87,12141,2068,12
93,Luxembourg,56194,0,1487.2,7.91,115874,14649,10
94,Uruguay,53000,0,237.3,7.64,15438,2021,9
95,Lithuania,61612,0,326.9,8.11,20234,2495,8
96,Trinidad and Tobago,57000,0,634.3,3.76,15426,4103,6
97,Honduras,58000,0,95.9,5.49,2406,438,5
98,Jamaica,54000,0,284.8,6.36,4665,733,3
99,Uzbekistan,49000,0,23.9,3.39,1686,497,21
